"Date","activity"
"2004-01-04",0.335
"2004-01-11",5e-04
"2004-01-18",0.0565
"2004-01-25",-0.147
"2004-02-01",-0.242
"2004-02-08",-0.3165
"2004-02-15",-0.116
"2004-02-22",-0.165
"2004-02-29",-0.1495
"2004-03-07",-0.4
"2004-03-14",-0.4065
"2004-03-21",-0.2335
"2004-03-28",-0.168
"2004-04-04",-0.3705
"2004-04-11",-0.6235
"2004-04-18",-0.4515
"2004-04-25",-0.341
"2004-05-02",-0.5415
"2004-05-09",-0.615
"2004-05-16",-0.694
"2004-05-23",-0.6105
"2004-05-30",-0.597
"2004-06-06",-0.52
"2004-06-13",-0.648
"2004-06-20",-0.4845
"2004-06-27",-0.6615
"2004-07-04",-0.351
"2004-07-11",-0.3885
"2004-07-18",-0.43
"2004-07-25",-0.4855
"2004-08-01",-0.4675
"2004-08-08",-0.5405
"2004-08-15",-0.381
"2004-08-22",-0.4495
"2004-08-29",-0.427
"2004-09-05",-0.4285
"2004-09-12",-0.3875
"2004-09-19",-0.235
"2004-09-26",-0.3775
"2004-10-03",-0.5935
"2004-10-10",-0.609
"2004-10-17",-0.612
"2004-10-24",-0.731
"2004-10-31",-0.6725
"2004-11-07",-0.3505
"2004-11-14",-0.204
"2004-11-21",-0.4885
"2004-11-28",-0.4205
"2004-12-05",-0.1055
"2004-12-12",-0.58
"2004-12-19",-0.755
"2004-12-26",-0.114
"2005-01-02",0.0685
"2005-01-09",-0.085
"2005-01-16",-0.176
"2005-01-23",-0.208
"2005-01-30",-0.3185
"2005-02-06",-0.3435
"2005-02-13",-0.4895
"2005-02-20",-0.3175
"2005-02-27",-0.546
"2005-03-06",-0.3775
"2005-03-13",-0.491
"2005-03-20",-0.517
"2005-03-27",-0.5515
"2005-04-03",-0.7035
"2005-04-10",-0.739
"2005-04-17",-0.675
"2005-04-24",-0.612
"2005-05-01",-0.3105
"2005-05-08",-0.576
"2005-05-15",-0.714
"2005-05-22",-0.639
"2005-05-29",-0.562
"2005-06-05",-0.5785
"2005-06-12",-0.605
"2005-06-19",-0.6675
"2005-06-26",-0.8205
"2005-07-03",-0.5845
"2005-07-10",-0.5605
"2005-07-17",-0.5905
"2005-07-24",-0.2715
"2005-07-31",-0.513
"2005-08-07",-0.574
"2005-08-14",-0.6545
"2005-08-21",-0.7125
"2005-08-28",-0.956
"2005-09-04",-0.786
"2005-09-11",-0.7345
"2005-09-18",-0.6575
"2005-09-25",-0.5965
"2005-10-02",-0.567
"2005-10-09",-0.654
"2005-10-16",-0.689
"2005-10-23",-0.7825
"2005-10-30",-0.568
"2005-11-06",-0.1485
"2005-11-13",-0.1425
"2005-11-20",-0.616
"2005-11-27",-0.5025
"2005-12-04",-0.649
"2005-12-11",-0.8125
"2005-12-18",-0.9145
"2005-12-25",-0.2165
"2006-01-01",0.104
"2006-01-08",-0.033
"2006-01-15",-0.2735
"2006-01-22",-0.3365
"2006-01-29",-0.3695
"2006-02-05",-0.5705
"2006-02-12",-0.6755
"2006-02-19",-0.3625
"2006-02-26",0.225
"2006-03-05",-0.454
"2006-03-12",-0.3545
"2006-03-19",-0.5495
"2006-03-26",-0.4975
"2006-04-02",-0.494
"2006-04-09",-0.497
"2006-04-16",-0.7265
"2006-04-23",-0.794
"2006-04-30",-0.855
"2006-05-07",-0.881
"2006-05-14",-0.928
"2006-05-21",-0.9815
"2006-05-28",-0.9135
"2006-06-04",-0.9595
"2006-06-11",-0.841
"2006-06-18",-0.855
"2006-06-25",-0.947
"2006-07-02",-0.8655
"2006-07-09",-0.938
"2006-07-16",-0.968
"2006-07-23",-0.901
"2006-07-30",-0.969
"2006-08-06",-0.9525
"2006-08-13",-0.914
"2006-08-20",-0.9625
"2006-08-27",-0.9455
"2006-09-03",-0.8385
"2006-09-10",-0.911
"2006-09-17",-0.842
"2006-09-24",-0.954
"2006-10-01",-0.871
"2006-10-08",-0.992
"2006-10-15",-0.9445
"2006-10-22",-0.918
"2006-10-29",-1.0015
"2006-11-05",-0.957
"2006-11-12",-0.9205
"2006-11-19",-1.0465
"2006-11-26",-0.8925
"2006-12-03",-0.9865
"2006-12-10",-1.0355
"2006-12-17",-1.276
"2006-12-24",-0.823
"2006-12-31",-0.257
"2007-01-07",-0.4415
"2007-01-14",-0.608
"2007-01-21",-0.4815
"2007-01-28",-0.684
"2007-02-04",-0.4495
"2007-02-11",-0.848
"2007-02-18",-0.653
